Accident Latitude,Accident Longitude,All Costs,Risk Score
29.79556,-95.27892,30210,0.0035941774268577814
29.7961139,-90.0150778,1,1.1897310251101561e-07
29.79637,-95.27905,16521,0.001965554626584489
29.79733,-95.2787,18230,0.0021688796587758146
29.79734,-95.27929,126250,0.015020354192015719
29.80955,-94.40048,30500,0.003628679626585976
29.816369,-95.18092,364157,0.04332488809110391
29.819151,-95.154632,661000,0.07864122075978132
29.81987246,-95.18024582,11588,0.0013786603118976489
29.81987246,-95.15331796,39650,0.004717283514561769
29.821878,-94.811713,501600,0.05967690821952543
29.825329,-94.922859,2500,0.00029743275627753906
29.8261,-94.86,3525,0.00041938018635133005
29.8279,-94.9438,278559,0.033141028462365996
29.82961,-91.001564,286000,0.03402630731815046
29.841234,-94.892437,2175,0.0002587664979614589
29.84136111,-95.07033333,149967,0.01784203926426948
29.8441496,-94.9113855,725,8.625549932048632e-05
29.845934,-94.908022,1040,0.00012373202661145622
29.84671,-94.9057,18677,0.0022220606355982386
29.84692774,-91.65165833,5000,0.0005948655125550781
29.84722,-94.90222,1550,0.0001844083088920742
29.847222,-94.902222,1050,0.0001249217576365664
29.848528,-94.905557,12360,0.0014705075470361527
29.84893,-94.895224,0,0.0
29.84904,-94.90535,0,0.0
29.84931,-94.89759,1270,0.00015109584018898982
29.85325,-94.89837,41600,0.004949281064458249
29.8538,-93.95632,66095,0.007863527210465576
29.854022,-94.892908,634,7.542894699198389e-05
29.854148,-94.916009,13505,0.0016067317494112658
29.85635,-94.90781,128862,0.015331111935774492
29.856513,-94.892601,176250,0.0209690093175665
29.8567,-94.9945,125000,0.01487163781387695
29.85731,-94.895471,3175,0.00037773960047247457
29.857514,-94.895203,800,9.517848200881248e-05
29.857787,-94.898144,19431,0.0023117663548915444
29.85836,-94.97929,80000,0.00951784820088125
29.858881,-93.956656,55500,0.006603007189361366
29.859222,-94.561908,100,1.189731025110156e-05
29.86,-94.9017,1002,0.00011921104871603764
29.862472,-94.905644,80200,0.009541642821383452
29.86809,-93.95744,0,0.0
29.87283,-93.95767,119829,0.01425642790079249
29.87727,-93.95604,23780,0.0028291803777119513
29.878747,-94.271826,547,6.507828707352554e-05
29.878864,-93.986341,2582100,0.3072004479936934
29.878953,-94.271735,778,9.256107375357014e-05
29.885833,-95.410833,45600,0.005425173474502312
29.88604163,-93.99349166,3250,0.00038666258316080076
29.887222,-95.374444,41500,0.004937383754207147
29.88794,-93.99386,30000,0.0035691930753304684
29.88878,-94.84975,150,1.784596537665234e-05
29.8916,-93.9897,60065,0.0071461194023241525
29.893363,-93.9928,1100,0.00013087041276211718
29.8964,-94.0054,1162004,0.13824722101021017
29.89936,-93.955483,2525,0.0003004070838403144
29.9006722,-94.0055528,20000,0.0023794620502203124
29.90083,-94.00556,102969,0.012250541392456765
29.90087416,-94.00565624,1006681,0.1197679618088917
29.906433,-94.149808,7487000,0.8907516184999739
29.90801,-94.01201,21000,0.002498435152731328
29.90848,-94.01228,775000,0.09220415444603709
29.90949,-94.26191,450000,0.05353789612995702
29.91122222,-94.00944444,5013,0.0005964121628877213
29.91125,-94.010521,1173341,0.13959601907337757
29.911449,-94.009073,9982,0.0011875895092649576
29.911491,-94.008985,501500,0.05966501090927433
29.9115,-94.093194,1200,0.0001427677230132187
29.91156,-94.00983,25045,0.002979681352388386
29.911676,-94.007095,36062,0.004290408022752244
29.912017,-94.008532,5015,0.0005966501090927432
29.9121,-94.0067,49552,0.005895355175625845
29.91232,-94.01006,1800,0.0002141515845198281
29.916355,-90.322616,60001,0.007138505123763448
29.920836,-94.020288,60250,0.007168129426288691
29.92317489,-97.1231789,11235699,1.3367459689099157
29.926686,-94.698972,296,3.5216038343260624e-05
29.926983,-94.699149,8024,0.0009546401745483892
29.935,-94.2833333,395330,0.047033636615679796
29.93538,-94.49051,19010,0.0022616786787344064
29.94075,-89.9367,35000,0.004164058587885546
29.950028,-96.850184,7175,0.0008536320105165369
29.95115,-93.5722,45000,0.005353789612995702
29.951987,-93.887925,175000,0.02082029293942773
29.952028,-93.887943,26098,0.0031049600293324856
29.952065,-96.861438,2525,0.0003004070838403144
29.952222,-96.861139,5456,0.0006491172473001011
29.955034,-94.24222,52668,0.00626607536305017
29.95687,-90.71667,0,0.0
29.96887,-89.25292,10190,0.001212335914587249
29.970953,-93.938061,6400,0.0007614278560704998
29.97101,-93.942296,2770000,0.32955549395551326
29.974782,-94.056025,30000,0.0035691930753304684
29.97496932,-94.0572917,47443,0.005644440902430113
29.974993,-94.05586,9315,0.0011082344498901105
29.975,-94.056,35000,0.004164058587885546
29.97501,-94.05586,38540,0.0045852233707745415
29.97504,-94.05633,5092,0.0006058110379860915
29.97507,-94.05649,5000,0.0005948655125550781
29.97523,-94.05578,6000,0.0007138386150660936
29.97583,-94.05681,20200,0.002403256670722515
29.976335,-90.469736,515269,0.0613031515577485
29.9771376,-94.0563685,1900,0.00022604889477092965
29.9774,-94.05766,5000,0.0005948655125550781
29.977871,-94.811151,200000,0.023794620502203122
29.978557,-93.936008,133479,0.015880410750067853
29.9807,-94.06,585,6.959926496894413e-05
29.98219,-94.06028,9933,0.001181759827241918
29.98266,-94.06191,670000,0.07971197868238046
29.98722,-94.07171,160643,0.019112196106677082
29.9877906,-94.0637716,5299,0.0006304384702058717
29.99103,-93.989175,3025,0.0003598936350958222
29.991106,-93.993675,9562,0.0011376208062103311
29.9912,-93.990804,18390,0.002187915355177577
29.991266,-93.987165,22800,0.002712586737251156
29.991413,-93.987564,8200,0.000975579440590328
29.994064,-93.986846,5050,0.0006008141676806288
29.9944083,-90.386475,120,1.4276772301321871e-05
29.99447,-93.99172,671,7.983095178489147e-05
29.9948,-93.9853,52121,0.006200997075976645
29.99604,-94.074072,404727,0.048151626859975816
29.99763,-94.07668,20300,0.002415153980973617
29.997663,-94.076706,130000,0.015466503326432028
30.0016,-90.8521,177922,0.021167932344964918
30.0038889,-90.8547222,41173,0.004898479549686046
30.0039,-90.8566,579126,0.06890041696479443
30.00458,-90.85357,37107,0.004414734914876256
30.004722,-94.057583,33400,0.003973701623867921
30.0058083,-90.8609222,5000,0.0005948655125550781
30.006233,-90.857162,1000,0.0001189731025110156
30.0064,-90.4013,9575,0.0011391674565429744
30.0065888,-90.4014277,1000,0.0001189731025110156
30.006667,-90.856111,25160,0.0029933632591771526
30.008867,-94.054261,34555,0.004111115557268144
30.008992,-90.854975,55000,0.006543520638105858
30.0095,-94.0594,13000,0.001546650332643203
30.010536,-90.861846,81600,0.009708205164898873
30.010784,-94.058079,15006,0.0017853103762803003
30.010811,-94.056361,0,0.0
30.011111,-90.838889,5000,0.0005948655125550781
30.0113,-94.057133,262519,0.031232699898089303
30.01172,-94.4075,3000,0.0003569193075330468
30.01173,-94.40758,1030,0.0001225422955863461
30.01177,-90.857704,210555,0.02505038159920689
30.0119001,-90.8508001,1879337,0.22359055355374455
30.013719,-94.053796,502,5.972449746052984e-05
30.01372,-94.055864,470821,0.056015035097338885
30.0142962,-91.1162737,1000000,0.1189731025110156
30.015334,-94.221792,150001,0.01784608434975485
30.01612,-90.865628,3000,0.0003569193075330468
30.0166509,-90.844778,60000,0.007138386150660937
30.016667,-94.052778,511,6.0795255383128974e-05
30.016724,-90.853104,30000,0.0035691930753304684
30.02448,-94.79471,6553,0.0007796307407546853
30.0250818,-90.8409226,1100,0.00013087041276211718
30.02609,-90.85108,28500,0.003390733421563945
30.02767,-94.5044,29459,0.003504828626872009
30.030029,-94.041199,3077,0.00036608023642639503
30.03188,-94.06856,252000,0.029981221832775934
30.034033,-96.435533,162264,0.019305051505847437
30.042343,-96.914558,158100,0.01880964750699157
30.04236,-96.91462,3050,0.00036286796265859765
30.042394,-94.025905,148551,0.01767357335111388
30.049461,-94.069686,25020,0.00297670702482561
30.05006,-94.07014,26581,0.003162424037845306
30.05012,-93.7743,15000,0.0017845965376652342
30.0503,-93.721048,24323483,2.8938402363839453
30.055571,-91.062652,241617,0.028745924109404058
30.056,-91.1357,525,6.24608788182832e-05
30.056628,-91.13616,1800,0.0002141515845198281
30.05777,-94.97769,524139,0.06235844297702121
30.060572,-93.5581,1317928,0.1567979830461378
30.06066,-93.55077,989000,0.11766439838339444
30.066112,-93.820278,26700,0.0031765818370441167
30.07313,-94.78327,1000,0.0001189731025110156
30.07415,-94.41013,274836,0.03269809160171749
30.0751806,-94.064083,45500,0.005413276164251211
30.0795,-92.7465,380400,0.045257368195190335
30.08493,-94.44736,22000,0.0026174082552423436
30.08533,-94.3805,413,4.9135891337049447e-05
30.08566,-94.026683,632830,0.075289748462046
30.087494,-89.928927,675000,0.08030684419493554
30.0889,-94.6507,23129,0.00275172888797728
30.0889,-94.6502,15012,0.001786024214895366
30.10556,-92.88889,55100,0.00655541794835696
30.11356,-92.254,35150,0.004181904553262198
30.11472,-94.64583,20100,0.0023913593604714136
30.1150416,-90.9009944,2650,0.0003152787216541913
30.1291,-94.63106,32500,0.003866625831608007
30.13945,-94.604717,88100,0.010481530331220474
30.14044,-94.39876,5260,0.000625798519207942
30.1408,-94.3989,25060,0.002981465948926051
30.14105,-94.39892,3308,0.00039356302310643965
30.145154,-94.405099,120360,0.014319602618225838
30.1457,-94.4076,5040,0.0005996244366555187
30.145766,-94.404044,1800792,0.2142458112170168
30.1458,-94.4014,38197,0.004544415596613263
30.1479,-94.4001,21084,0.002508428893342253
30.155076,-91.563535,2020,0.00024032566707225155
30.15683,-90.853719,15000,0.0017845965376652342
30.1571,-93.0463,505850,0.06018254390519725
30.15735228,-93.04560277,493500,0.0587132260891862
30.158686,-93.339919,10050,0.0011956796802357068
30.15957,-93.33989,16130,0.0019190361435026816
30.16,-92.55346,170000,0.020225427426872652
30.160197,-93.030086,19050,0.002266437602834847
30.16414,-94.43055,12453,0.0014815720455696774
30.16485,-93.35127,2785,0.0003313400904931785
30.164856,-93.35175,162001,0.01927376157988704
30.16801,-93.34001,65000,0.007733251663216014
30.16954,-93.33639,20000,0.0023794620502203124
30.16968,-93.33548,20000,0.0023794620502203124
30.170532,-93.339358,2120,0.0002522229773233531
30.1724,-90.782,254,3.0219168037797964e-05
30.17253,-90.78807,2900,0.0003450219972819453
